id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
0,correlation_ids_0,0,received_at,0,0.63,0.63,0.63,0.65,0.63,0.65,0.63,0.64,0.63,0.64,0.64,0.64,0.63,0.65,0.64,0.64,0.65,0.64,0.63,0.65,0.64,0.65,0.63,0.62,0.63,15.94,0.64,false
1,correlation_ids_0,0.001953125,received_at,0.001953125,0.60,0.60,0.57,0.60,0.60,0.60,0.58,0.59,0.59,0.60,0.60,0.59,0.59,0.59,0.60,0.60,0.62,0.58,0.61,0.60,0.59,0.62,0.59,0.58,0.60,14.89,0.60,false
2,correlation_ids_0,0.00390625,received_at,0.00390625,0.60,0.60,0.58,0.59,0.61,0.62,0.60,0.61,0.62,0.62,0.61,0.62,0.61,0.60,0.62,0.60,0.62,0.61,0.61,0.61,0.61,0.61,0.62,0.59,0.60,15.19,0.61,false
3,correlation_ids_0,0.005859375,received_at,0.005859375,0.61,0.62,0.59,0.61,0.61,0.62,0.60,0.61,0.62,0.61,0.61,0.62,0.61,0.60,0.61,0.60,0.63,0.61,0.61,0.61,0.61,0.61,0.61,0.62,0.61,15.27,0.61,false
4,correlation_ids_0,0.0078125,received_at,0.0078125,0.55,0.55,0.53,0.56,0.55,0.56,0.54,0.54,0.56,0.55,0.55,0.54,0.53,0.54,0.56,0.54,0.57,0.54,0.57,0.56,0.55,0.57,0.55,0.55,0.55,13.76,0.55,false
5,correlation_ids_0,0.009765625,received_at,0.009765625,0.56,0.56,0.55,0.56,0.55,0.58,0.54,0.55,0.56,0.56,0.55,0.55,0.55,0.55,0.56,0.55,0.56,0.55,0.57,0.56,0.55,0.57,0.56,0.56,0.55,13.91,0.56,false
6,correlation_ids_0,0.01171875,received_at,0.01171875,0.61,0.62,0.60,0.60,0.62,0.61,0.61,0.61,0.62,0.62,0.60,0.61,0.61,0.60,0.60,0.62,0.61,0.61,0.62,0.61,0.61,0.62,0.60,0.60,0.60,15.24,0.61,false
7,correlation_ids_0,0.013671875,received_at,0.013671875,0.53,0.52,0.51,0.54,0.54,0.55,0.51,0.52,0.53,0.52,0.53,0.52,0.51,0.52,0.53,0.52,0.54,0.52,0.55,0.52,0.52,0.55,0.53,0.53,0.53,13.19,0.53,false
8,correlation_ids_0,0.015625,received_at,0.015625,0.53,0.52,0.52,0.54,0.54,0.55,0.52,0.52,0.54,0.53,0.53,0.52,0.53,0.53,0.53,0.53,0.54,0.53,0.55,0.53,0.52,0.54,0.53,0.54,0.54,13.30,0.53,false
9,correlation_ids_0,0.017578125,received_at,0.017578125,0.53,0.52,0.52,0.53,0.54,0.54,0.52,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.54,0.52,0.53,0.53,0.54,0.53,0.51,0.54,0.53,0.53,0.53,13.16,0.53,false
10,correlation_ids_0,0.01953125,received_at,0.01953125,0.53,0.51,0.52,0.53,0.53,0.54,0.51,0.52,0.53,0.53,0.52,0.52,0.53,0.52,0.53,0.53,0.52,0.52,0.54,0.52,0.51,0.54,0.52,0.53,0.54,13.14,0.53,false
11,correlation_ids_0,0.021484375,received_at,0.021484375,0.52,0.52,0.51,0.53,0.53,0.54,0.51,0.52,0.53,0.52,0.52,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.53,0.51,0.50,0.54,0.52,0.53,0.54,13.04,0.52,false
12,correlation_ids_0,0.0234375,received_at,0.0234375,0.56,0.55,0.54,0.56,0.57,0.58,0.56,0.57,0.58,0.57,0.57,0.56,0.56,0.56,0.57,0.56,0.57,0.56,0.57,0.57,0.57,0.57,0.58,0.57,0.56,14.14,0.57,false
13,correlation_ids_0,0.025390625,received_at,0.025390625,0.57,0.57,0.56,0.57,0.58,0.58,0.57,0.57,0.58,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.56,0.58,0.57,0.58,0.58,0.58,0.58,0.56,14.31,0.57,false
14,correlation_ids_0,0.02734375,received_at,0.02734375,0.55,0.53,0.54,0.55,0.55,0.55,0.52,0.54,0.56,0.54,0.53,0.53,0.54,0.53,0.54,0.55,0.54,0.54,0.54,0.54,0.52,0.55,0.53,0.53,0.54,13.48,0.54,false
15,correlation_ids_0,0.029296875,received_at,0.029296875,0.55,0.54,0.53,0.55,0.56,0.56,0.53,0.54,0.55,0.55,0.54,0.53,0.52,0.54,0.54,0.55,0.55,0.54,0.55,0.54,0.53,0.55,0.56,0.54,0.54,13.58,0.54,false
16,correlation_ids_0,0.03125,received_at,0.03125,0.62,0.61,0.61,0.62,0.63,0.63,0.59,0.61,0.62,0.62,0.61,0.61,0.59,0.60,0.62,0.61,0.63,0.61,0.62,0.61,0.61,0.63,0.62,0.61,0.61,15.35,0.61,false
17,correlation_ids_0,0.033203125,received_at,0.033203125,0.55,0.57,0.56,0.56,0.58,0.58,0.57,0.56,0.59,0.58,0.56,0.57,0.56,0.56,0.57,0.58,0.57,0.57,0.58,0.57,0.58,0.57,0.57,0.56,0.56,14.23,0.57,false
18,correlation_ids_0,0.03515625,received_at,0.03515625,0.59,0.58,0.58,0.59,0.58,0.59,0.57,0.57,0.58,0.59,0.58,0.58,0.59,0.58,0.58,0.58,0.59,0.59,0.58,0.58,0.59,0.60,0.58,0.57,0.59,14.58,0.58,false
19,correlation_ids_0,0.037109375,received_at,0.037109375,0.55,0.54,0.52,0.55,0.54,0.54,0.53,0.53,0.53,0.55,0.54,0.53,0.52,0.54,0.55,0.53,0.55,0.53,0.53,0.53,0.54,0.56,0.54,0.52,0.54,13.43,0.54,false
20,correlation_ids_0,0.0390625,received_at,0.0390625,0.55,0.55,0.53,0.54,0.55,0.56,0.55,0.54,0.56,0.55,0.54,0.55,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.54,0.55,0.55,0.56,0.55,0.54,13.69,0.55,false
21,correlation_ids_0,0.041015625,received_at,0.041015625,0.54,0.56,0.54,0.55,0.57,0.57,0.55,0.56,0.57,0.55,0.55,0.56,0.55,0.56,0.56,0.55,0.57,0.54,0.56,0.55,0.57,0.56,0.56,0.55,0.54,13.89,0.56,false
22,correlation_ids_0,0.04296875,received_at,0.04296875,0.50,0.50,0.49,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.49,0.51,0.50,0.49,0.51,0.49,0.50,0.50,0.50,0.50,0.51,0.52,0.49,0.50,0.50,12.51,0.50,false
23,correlation_ids_0,0.044921875,received_at,0.044921875,0.52,0.51,0.50,0.51,0.51,0.52,0.49,0.51,0.51,0.51,0.50,0.51,0.51,0.51,0.50,0.51,0.51,0.52,0.52,0.50,0.52,0.52,0.52,0.50,0.50,12.74,0.51,false
24,correlation_ids_0,0.046875,received_at,0.046875,0.54,0.56,0.54,0.56,0.57,0.57,0.55,0.55,0.56,0.55,0.55,0.55,0.55,0.54,0.55,0.57,0.56,0.56,0.56,0.56,0.57,0.55,0.55,0.56,0.55,13.88,0.56,false
25,correlation_ids_0,0.048828125,received_at,0.048828125,0.49,0.49,0.47,0.47,0.48,0.49,0.46,0.48,0.47,0.48,0.47,0.48,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.48,0.48,0.50,0.49,0.48,0.48,12.03,0.48,false
26,correlation_ids_0,0.05078125,received_at,0.05078125,0.49,0.49,0.48,0.49,0.50,0.50,0.46,0.49,0.49,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.50,0.50,0.48,0.49,12.19,0.49,false
27,correlation_ids_0,0.052734375,received_at,0.052734375,0.50,0.49,0.48,0.49,0.48,0.49,0.47,0.48,0.47,0.49,0.48,0.48,0.48,0.48,0.49,0.48,0.49,0.49,0.49,0.49,0.48,0.49,0.50,0.48,0.48,12.12,0.48,false
28,correlation_ids_0,0.0546875,received_at,0.0546875,0.49,0.49,0.48,0.49,0.49,0.50,0.46,0.49,0.48,0.49,0.48,0.48,0.48,0.48,0.49,0.48,0.49,0.49,0.49,0.49,0.48,0.49,0.50,0.49,0.49,12.16,0.49,false
29,correlation_ids_0,0.056640625,received_at,0.056640625,0.49,0.49,0.48,0.49,0.48,0.50,0.47,0.48,0.48,0.48,0.48,0.47,0.49,0.48,0.49,0.48,0.49,0.50,0.49,0.49,0.47,0.48,0.50,0.50,0.48,12.13,0.49,false
30,correlation_ids_0,0.05859375,received_at,0.05859375,0.54,0.53,0.52,0.53,0.54,0.54,0.54,0.53,0.56,0.53,0.53,0.54,0.53,0.53,0.53,0.54,0.53,0.54,0.53,0.53,0.54,0.52,0.54,0.54,0.53,13.36,0.53,false
31,correlation_ids_0,0.060546875,received_at,0.060546875,0.53,0.54,0.53,0.53,0.55,0.55,0.55,0.54,0.56,0.53,0.55,0.55,0.54,0.55,0.54,0.55,0.56,0.52,0.55,0.53,0.55,0.53,0.55,0.54,0.53,13.55,0.54,false
32,correlation_ids_0,0.0625,received_at,0.0625,0.51,0.52,0.50,0.51,0.51,0.52,0.48,0.51,0.51,0.50,0.49,0.50,0.50,0.50,0.51,0.51,0.50,0.51,0.50,0.51,0.49,0.50,0.52,0.52,0.50,12.63,0.51,false
33,correlation_ids_0,0.064453125,received_at,0.064453125,0.52,0.52,0.50,0.51,0.51,0.52,0.48,0.51,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.51,0.51,0.50,0.51,0.51,0.49,0.50,0.53,0.52,0.49,12.65,0.51,false
34,correlation_ids_0,0.06640625,received_at,0.06640625,0.60,0.58,0.58,0.60,0.60,0.59,0.57,0.58,0.57,0.59,0.59,0.58,0.58,0.58,0.59,0.59,0.59,0.57,0.59,0.58,0.59,0.58,0.60,0.59,0.59,14.65,0.59,false
35,correlation_ids_0,0.068359375,received_at,0.068359375,0.53,0.54,0.53,0.54,0.55,0.55,0.54,0.54,0.54,0.55,0.54,0.54,0.54,0.54,0.54,0.55,0.54,0.54,0.55,0.55,0.55,0.53,0.53,0.55,0.54,13.54,0.54,false
36,correlation_ids_0,0.0703125,received_at,0.0703125,0.57,0.56,0.56,0.58,0.57,0.58,0.57,0.55,0.56,0.57,0.56,0.56,0.58,0.57,0.57,0.57,0.58,0.56,0.58,0.55,0.57,0.59,0.57,0.56,0.57,14.21,0.57,false
37,correlation_ids_0,0.072265625,received_at,0.072265625,0.52,0.53,0.50,0.53,0.52,0.52,0.50,0.50,0.51,0.52,0.52,0.51,0.52,0.53,0.53,0.51,0.53,0.51,0.52,0.51,0.51,0.53,0.52,0.51,0.51,12.92,0.52,false
38,correlation_ids_0,0.07421875,received_at,0.07421875,0.53,0.52,0.51,0.51,0.54,0.53,0.54,0.53,0.54,0.52,0.52,0.52,0.52,0.52,0.54,0.52,0.53,0.53,0.52,0.53,0.54,0.52,0.53,0.53,0.53,13.17,0.53,false
39,correlation_ids_0,0.076171875,received_at,0.076171875,0.53,0.53,0.52,0.53,0.54,0.54,0.54,0.53,0.55,0.52,0.53,0.52,0.54,0.54,0.54,0.54,0.55,0.51,0.54,0.52,0.54,0.52,0.54,0.53,0.52,13.31,0.53,false
40,correlation_ids_0,0.078125,received_at,0.078125,0.49,0.48,0.47,0.49,0.48,0.49,0.47,0.47,0.48,0.48,0.47,0.48,0.48,0.47,0.49,0.49,0.49,0.48,0.49,0.48,0.48,0.49,0.48,0.48,0.48,12.03,0.48,false
41,correlation_ids_0,0.080078125,received_at,0.080078125,0.50,0.49,0.48,0.50,0.49,0.51,0.47,0.49,0.49,0.49,0.48,0.49,0.49,0.49,0.49,0.50,0.49,0.50,0.50,0.48,0.49,0.49,0.49,0.49,0.48,12.26,0.49,false
42,correlation_ids_0,0.08203125,received_at,0.08203125,0.52,0.54,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.54,0.54,0.54,0.55,0.53,0.53,0.54,0.54,0.54,0.53,0.52,0.54,0.53,13.40,0.54,false
43,correlation_ids_0,0.083984375,received_at,0.083984375,0.46,0.47,0.45,0.47,0.47,0.47,0.44,0.46,0.45,0.46,0.47,0.46,0.47,0.47,0.47,0.46,0.47,0.47,0.48,0.45,0.46,0.47,0.48,0.46,0.46,11.60,0.46,false
44,correlation_ids_0,0.0859375,received_at,0.0859375,0.47,0.46,0.46,0.49,0.49,0.49,0.45,0.47,0.46,0.47,0.46,0.47,0.47,0.48,0.48,0.47,0.47,0.48,0.48,0.46,0.46,0.48,0.49,0.47,0.48,11.81,0.47,false
45,correlation_ids_0,0.087890625,received_at,0.087890625,0.46,0.46,0.46,0.47,0.47,0.48,0.44,0.47,0.46,0.47,0.47,0.46,0.47,0.47,0.47,0.46,0.47,0.47,0.49,0.46,0.45,0.48,0.48,0.46,0.47,11.67,0.47,false
46,correlation_ids_0,0.08984375,received_at,0.08984375,0.47,0.47,0.47,0.47,0.48,0.49,0.45,0.47,0.47,0.47,0.46,0.48,0.47,0.47,0.48,0.46,0.47,0.47,0.48,0.46,0.46,0.47,0.48,0.47,0.48,11.77,0.47,false
47,correlation_ids_0,0.091796875,received_at,0.091796875,0.47,0.46,0.47,0.48,0.47,0.48,0.45,0.46,0.47,0.47,0.45,0.46,0.47,0.46,0.46,0.46,0.46,0.47,0.48,0.46,0.45,0.46,0.48,0.48,0.48,11.66,0.47,false
48,correlation_ids_0,0.09375,received_at,0.09375,0.51,0.52,0.50,0.51,0.53,0.53,0.52,0.53,0.53,0.52,0.52,0.51,0.52,0.52,0.53,0.52,0.52,0.52,0.51,0.53,0.53,0.51,0.52,0.52,0.52,13.00,0.52,false
49,correlation_ids_0,0.095703125,received_at,0.095703125,0.52,0.51,0.51,0.53,0.53,0.53,0.53,0.53,0.54,0.51,0.52,0.51,0.54,0.53,0.53,0.54,0.53,0.51,0.53,0.52,0.54,0.52,0.52,0.53,0.52,13.13,0.53,false
50,correlation_ids_0,0.09765625,received_at,0.09765625,0.49,0.48,0.49,0.50,0.50,0.51,0.48,0.50,0.50,0.50,0.47,0.50,0.49,0.49,0.48,0.49,0.49,0.49,0.49,0.49,0.47,0.47,0.49,0.50,0.50,12.26,0.49,false
51,correlation_ids_0,0.099609375,received_at,0.099609375,0.50,0.50,0.50,0.50,0.50,0.51,0.47,0.48,0.49,0.50,0.47,0.49,0.49,0.49,0.47,0.49,0.48,0.48,0.49,0.49,0.48,0.48,0.50,0.51,0.50,12.26,0.49,false
52,correlation_ids_0,0.1015625,received_at,0.1015625,0.58,0.57,0.58,0.58,0.58,0.58,0.55,0.57,0.55,0.57,0.56,0.56,0.57,0.57,0.57,0.58,0.57,0.57,0.57,0.57,0.56,0.56,0.57,0.58,0.58,14.25,0.57,false
53,correlation_ids_0,0.103515625,received_at,0.103515625,0.51,0.53,0.52,0.53,0.53,0.54,0.53,0.53,0.53,0.53,0.53,0.52,0.53,0.53,0.53,0.54,0.53,0.51,0.52,0.54,0.53,0.52,0.51,0.53,0.51,13.16,0.53,false
54,correlation_ids_0,0.10546875,received_at,0.10546875,0.57,0.57,0.57,0.58,0.58,0.58,0.57,0.56,0.55,0.57,0.58,0.56,0.58,0.58,0.58,0.57,0.57,0.56,0.58,0.56,0.57,0.59,0.56,0.57,0.57,14.28,0.57,false
55,correlation_ids_0,0.107421875,received_at,0.107421875,0.50,0.51,0.49,0.52,0.49,0.50,0.49,0.49,0.48,0.51,0.52,0.49,0.50,0.51,0.49,0.50,0.52,0.50,0.51,0.50,0.50,0.51,0.51,0.50,0.50,12.54,0.50,false
56,correlation_ids_0,0.109375,received_at,0.109375,0.51,0.51,0.50,0.51,0.52,0.52,0.52,0.53,0.52,0.51,0.52,0.51,0.51,0.52,0.51,0.52,0.51,0.51,0.50,0.52,0.52,0.51,0.51,0.53,0.51,12.86,0.51,false
57,correlation_ids_0,0.111328125,received_at,0.111328125,0.51,0.51,0.50,0.52,0.52,0.53,0.52,0.52,0.53,0.51,0.52,0.51,0.53,0.53,0.52,0.53,0.53,0.51,0.53,0.52,0.53,0.51,0.52,0.53,0.51,13.00,0.52,false
58,correlation_ids_0,0.11328125,received_at,0.11328125,0.47,0.47,0.46,0.49,0.46,0.48,0.47,0.45,0.46,0.48,0.47,0.47,0.46,0.47,0.47,0.48,0.48,0.48,0.48,0.46,0.46,0.46,0.48,0.47,0.47,11.75,0.47,false
59,correlation_ids_0,0.115234375,received_at,0.115234375,0.49,0.47,0.47,0.50,0.48,0.49,0.48,0.48,0.47,0.49,0.48,0.48,0.46,0.48,0.47,0.48,0.47,0.49,0.49,0.47,0.48,0.48,0.47,0.48,0.47,11.97,0.48,false
60,correlation_ids_0,0.1171875,received_at,0.1171875,0.52,0.53,0.51,0.53,0.52,0.53,0.53,0.53,0.53,0.53,0.54,0.53,0.53,0.53,0.52,0.54,0.53,0.51,0.52,0.54,0.54,0.52,0.52,0.53,0.52,13.18,0.53,false
61,correlation_ids_0,0.119140625,received_at,0.119140625,0.45,0.45,0.45,0.46,0.45,0.46,0.45,0.44,0.44,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.47,0.46,0.44,0.45,0.44,0.46,0.46,0.45,11.29,0.45,false
62,correlation_ids_0,0.12109375,received_at,0.12109375,0.46,0.45,0.46,0.48,0.46,0.47,0.46,0.45,0.45,0.46,0.45,0.47,0.45,0.47,0.47,0.46,0.46,0.47,0.47,0.45,0.45,0.46,0.47,0.46,0.48,11.54,0.46,false
63,correlation_ids_0,0.123046875,received_at,0.123046875,0.45,0.46,0.47,0.47,0.45,0.46,0.45,0.45,0.45,0.46,0.45,0.46,0.45,0.46,0.45,0.46,0.45,0.47,0.46,0.45,0.45,0.45,0.46,0.46,0.47,11.42,0.46,false
64,correlation_ids_0,0.125,received_at,0.125,0.47,0.46,0.47,0.47,0.46,0.47,0.47,0.46,0.46,0.46,0.45,0.47,0.45,0.46,0.46,0.46,0.46,0.47,0.46,0.45,0.46,0.45,0.46,0.46,0.47,11.54,0.46,false
65,correlation_ids_0,0.126953125,received_at,0.126953125,0.46,0.46,0.47,0.47,0.45,0.46,0.46,0.46,0.45,0.46,0.44,0.46,0.45,0.46,0.46,0.45,0.45,0.46,0.47,0.46,0.46,0.44,0.46,0.48,0.47,11.47,0.46,false
66,correlation_ids_0,0.12890625,received_at,0.12890625,0.51,0.51,0.49,0.51,0.50,0.51,0.51,0.51,0.51,0.50,0.52,0.51,0.50,0.51,0.51,0.51,0.50,0.51,0.50,0.51,0.51,0.50,0.51,0.53,0.51,12.70,0.51,false
67,correlation_ids_0,0.130859375,received_at,0.130859375,0.51,0.51,0.50,0.52,0.51,0.51,0.51,0.52,0.53,0.51,0.52,0.50,0.53,0.52,0.51,0.52,0.52,0.50,0.52,0.51,0.51,0.51,0.51,0.53,0.51,12.85,0.51,false
68,correlation_ids_0,0.1328125,received_at,0.1328125,0.49,0.49,0.49,0.48,0.48,0.49,0.49,0.48,0.48,0.48,0.46,0.49,0.48,0.48,0.48,0.48,0.49,0.49,0.48,0.48,0.48,0.47,0.48,0.50,0.49,12.08,0.48,false
69,correlation_ids_0,0.134765625,received_at,0.134765625,0.49,0.49,0.49,0.49,0.48,0.50,0.47,0.49,0.48,0.50,0.47,0.48,0.47,0.49,0.48,0.47,0.48,0.48,0.48,0.48,0.48,0.47,0.49,0.51,0.50,12.11,0.48,false
70,correlation_ids_0,0.13671875,received_at,0.13671875,0.57,0.57,0.58,0.58,0.58,0.57,0.55,0.57,0.54,0.56,0.55,0.56,0.57,0.57,0.58,0.56,0.57,0.56,0.57,0.56,0.56,0.56,0.56,0.58,0.58,14.16,0.57,false
71,correlation_ids_0,0.138671875,received_at,0.138671875,0.52,0.54,0.53,0.54,0.53,0.54,0.54,0.54,0.53,0.53,0.54,0.53,0.52,0.52,0.53,0.55,0.52,0.52,0.53,0.54,0.54,0.53,0.52,0.54,0.52,13.29,0.53,false
72,correlation_ids_0,0.140625,received_at,0.140625,0.57,0.57,0.56,0.59,0.57,0.57,0.58,0.56,0.56,0.57,0.57,0.56,0.57,0.58,0.58,0.56,0.57,0.57,0.57,0.56,0.57,0.58,0.56,0.56,0.57,14.23,0.57,false
73,correlation_ids_0,0.142578125,received_at,0.142578125,0.51,0.50,0.50,0.50,0.49,0.50,0.49,0.48,0.48,0.50,0.51,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.51,0.50,0.50,0.50,12.47,0.50,false
74,correlation_ids_0,0.14453125,received_at,0.14453125,0.50,0.50,0.49,0.51,0.50,0.51,0.50,0.51,0.50,0.49,0.52,0.50,0.50,0.51,0.50,0.51,0.50,0.51,0.50,0.51,0.51,0.51,0.50,0.52,0.50,12.61,0.50,false
75,correlation_ids_0,0.146484375,received_at,0.146484375,0.51,0.51,0.50,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.50,0.52,0.51,0.52,0.51,0.52,0.50,0.52,0.51,0.51,0.50,0.51,0.53,0.50,12.77,0.51,false
76,correlation_ids_0,0.1484375,received_at,0.1484375,0.47,0.47,0.46,0.48,0.45,0.47,0.47,0.45,0.45,0.47,0.47,0.47,0.46,0.46,0.47,0.46,0.45,0.47,0.46,0.46,0.47,0.47,0.46,0.46,0.47,11.60,0.46,false
77,correlation_ids_0,0.150390625,received_at,0.150390625,0.48,0.47,0.47,0.49,0.46,0.48,0.47,0.47,0.45,0.48,0.48,0.48,0.46,0.48,0.48,0.46,0.46,0.48,0.48,0.47,0.47,0.48,0.48,0.47,0.47,11.82,0.47,false
78,correlation_ids_0,0.15234375,received_at,0.15234375,0.45,0.45,0.44,0.45,0.44,0.45,0.44,0.44,0.44,0.45,0.45,0.45,0.44,0.45,0.44,0.44,0.44,0.45,0.44,0.45,0.46,0.45,0.45,0.44,0.45,11.15,0.45,false
79,correlation_ids_0,0.154296875,received_at,0.154296875,0.47,0.45,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.46,0.45,0.47,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.45,0.46,11.40,0.46,false
80,correlation_ids_0,0.15625,received_at,0.15625,0.45,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.46,0.45,0.45,0.44,0.46,0.44,0.44,0.44,0.46,0.45,0.45,0.45,0.45,0.44,0.45,0.45,11.21,0.45,false
81,correlation_ids_0,0.158203125,received_at,0.158203125,0.47,0.47,0.46,0.46,0.47,0.46,0.46,0.44,0.46,0.46,0.45,0.46,0.44,0.46,0.45,0.45,0.45,0.46,0.46,0.45,0.46,0.46,0.45,0.45,0.46,11.42,0.46,false
82,correlation_ids_0,0.16015625,received_at,0.16015625,0.46,0.47,0.46,0.46,0.46,0.45,0.45,0.44,0.45,0.46,0.44,0.45,0.45,0.45,0.44,0.45,0.44,0.45,0.46,0.46,0.46,0.45,0.45,0.46,0.46,11.33,0.45,false
83,correlation_ids_0,0.162109375,received_at,0.162109375,0.50,0.49,0.49,0.50,0.50,0.51,0.50,0.49,0.50,0.50,0.51,0.50,0.50,0.50,0.49,0.50,0.49,0.50,0.50,0.51,0.50,0.50,0.50,0.51,0.48,12.47,0.50,false
84,correlation_ids_0,0.1640625,received_at,0.1640625,0.50,0.50,0.49,0.50,0.51,0.50,0.51,0.51,0.52,0.51,0.51,0.51,0.52,0.50,0.52,0.51,0.52,0.50,0.52,0.51,0.50,0.51,0.51,0.52,0.50,12.71,0.51,false
85,correlation_ids_0,0.166015625,received_at,0.166015625,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.48,0.47,0.46,0.48,0.48,0.48,0.46,0.48,0.47,0.48,0.48,0.48,0.47,0.47,0.48,0.48,0.47,11.89,0.48,false
86,correlation_ids_0,0.16796875,received_at,0.16796875,0.48,0.49,0.49,0.49,0.48,0.49,0.47,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.46,0.47,0.47,0.48,0.47,0.48,0.47,0.47,0.49,0.48,0.47,11.94,0.48,false
87,correlation_ids_0,0.169921875,received_at,0.169921875,0.56,0.57,0.57,0.57,0.56,0.57,0.54,0.56,0.54,0.55,0.55,0.55,0.57,0.56,0.55,0.55,0.57,0.56,0.57,0.56,0.55,0.56,0.56,0.56,0.57,13.98,0.56,false
88,correlation_ids_0,0.171875,received_at,0.171875,0.52,0.53,0.52,0.52,0.53,0.53,0.52,0.53,0.51,0.52,0.52,0.53,0.51,0.52,0.52,0.53,0.52,0.51,0.53,0.53,0.52,0.53,0.52,0.53,0.51,13.06,0.52,false
89,correlation_ids_0,0.173828125,received_at,0.173828125,0.57,0.57,0.55,0.57,0.56,0.57,0.57,0.55,0.55,0.56,0.56,0.55,0.56,0.57,0.57,0.56,0.56,0.57,0.56,0.55,0.57,0.57,0.56,0.55,0.55,14.03,0.56,false
90,correlation_ids_0,0.17578125,received_at,0.17578125,0.50,0.50,0.48,0.50,0.49,0.50,0.48,0.47,0.48,0.49,0.51,0.50,0.49,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.50,0.50,0.48,0.50,12.35,0.49,false
91,correlation_ids_0,0.177734375,received_at,0.177734375,0.50,0.49,0.49,0.49,0.50,0.51,0.49,0.49,0.50,0.50,0.51,0.50,0.50,0.50,0.48,0.50,0.49,0.49,0.50,0.51,0.50,0.50,0.50,0.51,0.49,12.44,0.50,false
92,correlation_ids_0,0.1796875,received_at,0.1796875,0.50,0.50,0.50,0.51,0.50,0.50,0.51,0.51,0.51,0.51,0.50,0.50,0.51,0.50,0.51,0.51,0.52,0.50,0.51,0.51,0.50,0.50,0.51,0.51,0.50,12.64,0.51,false
93,correlation_ids_0,0.181640625,received_at,0.181640625,0.47,0.47,0.45,0.47,0.46,0.47,0.46,0.45,0.45,0.45,0.47,0.46,0.44,0.46,0.47,0.44,0.46,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.46,11.49,0.46,false
94,correlation_ids_0,0.18359375,received_at,0.18359375,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.45,0.47,0.48,0.47,0.45,0.48,0.46,0.46,0.47,0.48,0.47,0.47,0.47,0.47,0.48,0.46,0.47,11.71,0.47,false
95,correlation_ids_0,0.185546875,received_at,0.185546875,0.51,0.52,0.52,0.51,0.52,0.52,0.51,0.52,0.51,0.51,0.52,0.52,0.51,0.50,0.50,0.51,0.52,0.51,0.52,0.51,0.51,0.52,0.51,0.52,0.50,12.83,0.51,false
96,correlation_ids_0,0.1875,received_at,0.1875,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.44,0.45,0.45,0.43,0.44,0.44,0.43,0.44,0.45,0.44,0.44,0.45,0.44,0.45,0.44,0.44,11.08,0.44,false
97,correlation_ids_0,0.189453125,received_at,0.189453125,0.45,0.46,0.45,0.46,0.46,0.46,0.45,0.44,0.44,0.45,0.46,0.45,0.45,0.47,0.44,0.43,0.46,0.46,0.45,0.45,0.45,0.45,0.47,0.45,0.45,11.31,0.45,false
98,correlation_ids_0,0.19140625,received_at,0.19140625,0.44,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.46,0.47,0.44,0.43,0.45,0.44,0.43,0.45,0.46,0.45,0.43,0.44,0.44,0.45,0.45,0.44,11.14,0.45,false
99,correlation_ids_0,0.193359375,received_at,0.193359375,0.45,0.46,0.46,0.45,0.46,0.46,0.45,0.45,0.45,0.45,0.46,0.46,0.44,0.46,0.44,0.43,0.46,0.46,0.45,0.45,0.45,0.45,0.46,0.45,0.46,11.32,0.45,false
100,correlation_ids_0,0.1953125,received_at,0.1953125,0.44,0.47,0.46,0.45,0.45,0.46,0.45,0.45,0.43,0.45,0.46,0.45,0.44,0.45,0.44,0.44,0.44,0.46,0.45,0.45,0.45,0.44,0.45,0.46,0.45,11.24,0.45,false
